num_factura,fecha_emision,proveedor,nif_proveedor,linea_negocio,vehiculo_id,categoria_gasto,concepto,base_imponible_eur,tipo_iva_pct,cuota_iva_eur,suplidos_eur,retencion_irpf_eur,total_eur,cuenta_pgc,cuenta_suplidos,iva_deducible_si_no,pagada_si_no,fecha_pago,archivo_pdf,notas
MUTUA-12692715,2025-10-23,Mutua Madrilena,V28027118,alquiler_vehiculos,V1,seguros,Seguro terceros NV200 1370KGF (23/10/2025-23/10/2026),349.46,0,0.00,0.00,0.00,349.46,6250,,si,desconocido,,"documentos/vehiculos/V1_1370KGF_Seguro-Mutua-terceros-349,46eur.pdf",Domiciliado en BBVA. No aparece en la contabilidad 2025 de Fisama: se registra en 2026. Poliza en uso PARTICULAR (ver HALLAZGOS 1.3). Vence 23/10/2026
MUTUA-12692873,2025-12-09,Mutua Madrilena,V28027118,alquiler_vehiculos,V2,seguros,Seguro todo riesgo NV200 2436KSS (09/12/2025-23/10/2026),291.49,0,0.00,0.00,0.00,291.49,6250,,si,desconocido,,"documentos/vehiculos/V2_2436KSS_Seguro-Mutua-todo-riesgo-291,49eur.pdf",Domiciliado en BBVA. No aparece en la contabilidad 2025 de Fisama: se registra en 2026. Vence 23/10/2026
71/2026,2026-03-03,Taller Carlos Valin SL,B82541160,alquiler_vehiculos,V2,mantenimiento,Mantenimiento completo NV200 2436KSS: aceite filtros frenos 4 neumaticos alineacion,964.26,21,202.52,0.00,0.00,1166.78,6220,,si,si,2026-03-04,facturas/recibidas/2026/2026-03-03_71-2026_Taller-Carlos-Valin-mantenimiento-V2.jpeg,
26A900069,2026-03-27,Gestoria Amengual (Miguel Mas Amengual),43004789X,alquiler_vehiculos,V3,gestoria,Cambio titularidad Ford Fiesta 4161JHF (suplidos: ITP 232.00 + tasa DGT 55.70 + varios 15.00),54.00,21,11.34,302.70,0.00,368.04,2180,2180,si,si,,facturas/recibidas/2026/2026-03-27_26A900069_Gestoria-Amengual-titularidad-Fiesta.pdf,Gasto de adquisicion del vehiculo: mayor coste del activo. OJO no se practico retencion IRPF del 15% sobre los honorarios (el emisor es persona fisica)
26A900070,2026-03-27,Gestoria Amengual (Miguel Mas Amengual),43004789X,alquiler_vehiculos,V1,gestoria,Cambio titularidad NV200 1370KGF - expediente a nombre de Roberto de Roa,54.00,21,11.34,65.70,0.00,131.04,2180,2180,si,si,,facturas/recibidas/2026/2026-03-27_26A900070_Gestoria-Amengual-titularidad-V1.pdf,Revisar si duplica la 26A900071 (mismo vehiculo mismo dia). Sin retencion IRPF
26A900071,2026-03-27,Gestoria Amengual (Miguel Mas Amengual),43004789X,alquiler_vehiculos,V1,gestoria,Cambio titularidad NV200 1370KGF (suplidos: ITP 152.64 + tasas),54.00,21,11.34,223.34,0.00,288.68,2180,2180,si,si,,facturas/recibidas/2026/2026-03-27_26A900071_Gestoria-Amengual-titularidad-V1-con-ITP.pdf,Gasto de adquisicion del vehiculo. Sin retencion IRPF
F26-45941,2026-04-06,Webempresa Europa SLU,B65739856,general,,suministros,Hosting Plan Mini + dominio bertssolutions.com (1 ano),28.40,21,5.96,0.00,0.00,34.36,6290,,no,si,2026-04-06,facturas/recibidas/2026/2026-04-06_F26-45941_Webempresa-hosting.pdf,Facturado a Norberto de Rodrigo (NIF 05299366M) y no a la SL: el IVA no es deducible hasta que se reemita a nombre de Berts
IVTM-2026-4161JHF,2026-04-19,Ayuntamiento El Casar (via reembolso a Ruth Serrano),,alquiler_vehiculos,V3,impuestos,Impuesto de circulacion (IVTM) 2026 del Ford Fiesta - reembolso a la vendedora,47.94,0,0.00,0.00,0.00,47.94,6310,,si,si,2026-04-19,facturas/recibidas/2026/2026-04-19_Transferencia-IVTM-Fiesta-reembolso-Ruth-Serrano.pdf,No hay factura: solo justificante de transferencia
AES2600140,2026-05-06,Amalgama Export SL,B02667376,alquiler_vehiculos,V4,aduanas_importacion,Suplidos DUA importacion Mustang Blanco (arancel + IVA importacion sin desglosar),2411.23,0,0.00,0.00,0.00,2411.23,2180,,si,si,,facturas/recibidas/2026/2026-05-06_AES2600140_Amalgama-suplidos-DUA-Mustang-Blanco.pdf,Valor en aduana 6967.03 EUR. Dentro hay IVA de importacion DEDUCIBLE (~1.600 EUR) que ahora esta sumado al coste del coche. PEDIR el DUA 26ES000855I056M8R6 para separarlo
AEF2600244,2026-05-13,Amalgama Export SL,B02667376,alquiler_vehiculos,V4,aduanas_importacion,Gastos importacion Mustang Blanco: naviera escaner despacho transporte descarga,1010.00,21,212.10,0.00,0.00,1222.10,2180,,si,si,,facturas/recibidas/2026/2026-05-13_AEF2600244_Amalgama-gastos-importacion-Mustang-Blanco.pdf,Parte 1/2 de la factura: gastos necesarios de importacion (mayor coste del vehiculo)
AEF2600244,2026-05-13,Amalgama Export SL,B02667376,alquiler_vehiculos,V4,aduanas_importacion,Demoras (95) y almacenaje (105) en puerto - Mustang Blanco,200.00,21,42.00,0.00,0.00,242.00,6290,,si,si,,facturas/recibidas/2026/2026-05-13_AEF2600244_Amalgama-gastos-importacion-Mustang-Blanco.pdf,Parte 2/2: costes por retraso en el despacho. Son ineficiencias y van a gasto no a mayor valor del coche
150/2026,2026-05-14,Taller Carlos Valin SL,B82541160,alquiler_vehiculos,V3,mantenimiento,Revision niveles presiones y tren delantero Ford Fiesta,46.00,21,9.66,0.00,0.00,55.66,6220,,si,si,2026-05-14,facturas/recibidas/2026/2026-05-14_150-2026_Taller-Carlos-Valin-revision-Fiesta.png,
096247/A/26/000526,2026-05-14,Cesena Inversiones SL (Repsol),,alquiler_vehiculos,V3,combustible,Combustible efitec 95 - 27.55 litros - Ford Fiesta 4161JHF,37.22,21,7.82,0.00,0.00,45.04,6280,,si,si,2026-05-14,facturas/recibidas/2026/2026-05-14_Repsol-combustible-Fiesta.png,Base calculada al 21%. El ticket muestra un IVA del 10% que hay que verificar
262000851,2026-05-15,Estacion Servicio Prat SLU,B08227258,alquiler_vehiculos,,combustible,Combustible S/P 95 Active - 38.68 litros,54.31,21,11.41,0.00,0.00,65.72,6280,,si,si,2026-05-15,facturas/recibidas/2026/2026-05-15_262000851_ES-Prat-combustible.png,Base calculada al 21%. El ticket muestra IVA 10% que hay que verificar. Confirmar a que vehiculo corresponde
261102507,2026-05-15,Grabados Juanjo SLU,B59477663,alquiler_vehiculos,V4,matriculacion_impuestos,Placas de matricula temporal P7559BDR para el Mustang Blanco,25.00,21,5.25,0.00,0.00,30.25,2180,,si,si,2026-05-15,facturas/recibidas/2026/2026-05-15_261102507_Grabados-Juanjo-placas-temporales.png,
154/2026,2026-05-20,Taller Carlos Valin SL,B82541160,alquiler_vehiculos,V4,mantenimiento,Anticongelante y diagnosis testigo fallo motor Mustang Blanco - AVERIA INTERNA MOTOR FALLO CILINDROS,65.00,21,13.65,0.00,0.00,78.65,6220,,si,si,2026-05-20,facturas/recibidas/2026/2026-05-20_154-2026_Taller-Carlos-Valin-diagnosis-Mustang-averia-motor.png,PRIMER DIAGNOSTICO de la averia de motor del Mustang Blanco
26A900127,2026-05-20,Gestoria Amengual (Miguel Mas Amengual),43004789X,alquiler_vehiculos,V4,matriculacion_impuestos,Matriculacion temporal y definitiva Mustang Blanco: honorarios 50.00 + copias 12.50,50.00,21,10.50,12.50,7.50,65.50,2180,2180,si,si,,facturas/recibidas/2026/2026-05-20_26A900127_Gestoria-Amengual-matriculacion-Mustang-Blanco.pdf,Parte 1/2. Lleva retencion IRPF 15% (-7.50) que Berts debe ingresar a Hacienda con el modelo 111 del T2. NO aparece el impuesto de matriculacion (IEDMT): verificar
26A900127,2026-05-20,Gestoria Amengual (Miguel Mas Amengual),43004789X,alquiler_vehiculos,V4,impuestos,Suplido IVTM 2026 Ayuntamiento de Madrid - Mustang Blanco,0.00,0,0.00,96.75,0.00,96.75,6310,6310,si,si,,facturas/recibidas/2026/2026-05-20_26A900127_Gestoria-Amengual-matriculacion-Mustang-Blanco.pdf,Parte 2/2 de la factura (total factura 162.25)
TC26 722,2026-06-11,Torres Auto (Pedryraf SL),B78528478,alquiler_vehiculos,V4,mantenimiento,Diagnosis motor Mustang Blanco - DANOS INTERNOS EN MOTOR SE ACONSEJA SUSTITUIR,114.80,21,24.11,0.00,0.00,138.91,6220,,si,si,2026-06-11,facturas/recibidas/2026/2026-06-11_TC26-722_Torres-Auto-diagnosis-Mustang-danos-motor.png,SEGUNDO DIAGNOSTICO confirma danos internos de motor. Cliente informado no autoriza la reparacion
